Designator,Part,Value,Quantity,Digi-key Part Number,Datasheet
J1,E5566-Q0LK22-L,RJ12 jack,1,553-2258-ND ,http://productfinder.pulseeng.com/products/datasheets/CE553027-LC.pdf
J2,75867-131LF,6 pin IDC,1,609-2846-ND ,http://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/75867.pdf
